"Sample","Unique.Exome.Reads","OverSeq","DropOut","Rounds.of.Capture"
"N12304",1975320,35407,18680,"2"
"N14222",800634,740,29951,"2"
"N14910",1552184,8719,14569,"1"
"N15105",647778,344,51426,"2"
"N15113",864243,4330,55622,"2"
"N15304",1500317,6450,11884,"1"
"N15410",1880561,30675,20125,"2"
"N15901",1506134,6734,6759,"1"
"N16007",1270637,13279,28882,"2"
"N16016",558517,213,49533,"2"
"N16017",1363048,2656,7835,"1"
"N16214",1233954,6894,24358,"2"
"N16608",87409,5,163492,"2"
"N17014",1846291,24501,30710,"1"
"N17311",1756896,16615,14121,"1"
"N17316",1882702,33670,24906,"2"
"N17405",2773590,50330,23969,"2"
"N18609",2496874,45382,19979,"2"
"N19103",1074931,911,18399,"1"
"N19108",1853245,14574,9509,"1"
"N19909",2863525,51724,21740,"2"
"N20107",194208,34,126624,"2"
"N20408",1679460,10453,13332,"1"
"N20410",1646817,19115,31992,"2"
"N20411",1569333,8610,16121,"1"
"N21009",1312433,9438,31619,"2"
"N21203",1057688,1645,20264,"1"
"N21602",1955049,19359,11592,"1"
"N21606",1533303,19116,33670,"2"
"N21608",1741009,14479,14666,"1"
"N21701",1275310,2933,11503,"1"
"N21803",1062508,1981,20190,"1"
"N22003",1443185,12070,28992,"2"
"N22602",296628,143,111637,"2"
"N26009",1104850,7433,32601,"2"
"N27007",1485926,19606,38587,"2"
"N27306",1555177,17340,39325,"2"
"N27909",600969,269,44763,"1"
"N28508",1654067,21831,27183,"2"
"N28702",2756815,50881,18874,"2"
"N29104",1354493,3972,11887,"1"
"N29107",1810430,12205,10550,"1"
"N30110",1342414,3843,12931,"1"
"N31902",2214166,26035,5576,"1"
"N31903",1356582,15071,35350,"2"
"N31904",1139055,13655,50546,"2"
"N31905",1056985,1666,16414,"1"
"N31907",1906010,27174,25448,"2"
"N31908",1561832,19165,36364,"2"
"N32001",887388,3056,37763,"2"
"N32006",1201810,2251,14561,"1"
"N32008",240651,74,103759,"2"
"N32109",1071039,11556,54103,"2"
"N32204",2008264,33944,21087,"2"
"N32205",1509591,20156,32691,"2"
"N32206",1338291,15007,27403,"2"
"N32207",1305186,4248,11788,"1"
"N32401",1606099,10142,8976,"1"
"N32402",1529553,10820,7711,"1"
"N32605",791605,726,30400,"1"
"N32606",1684896,22409,27273,"2"
"N33004",993718.5,980,16522,"1"
"N33104",482051,458,66547,"2"
"N34207",1631083,19749,28561,"2"
"N34404",1800890,11849,12692,"1"
"N34406",2243545,27334,4375,"1"
"N34606",1927749,25077,21365,"2"
"N34903",1916629,17633,8029,"1"
"N34904",833178,639,28366,"1"
"N35003",1732617,9832,10733,"1"
"N35006",1638421,12433,10513,"1"
"N35208",2362258,36705,30792,"2"
"N35508",1652222,22937,28345,"2"
"N35908",902096,5577,48157,"2"
"N36409",1950626,37056,34938,"2"
"N37405",899806,1354,22205,"1"
"N37807",594913,1731,66989,"2"
"N37909",2070423,23666,10829,"1"
"N38406",1248835,12582,43237,"2"
"N38502",1031741,951,25036,"1"
"N38602",718201,503,33165,"1"
"N38701",1229517,4101,17285,"1"
"N40306",2178125,25561,7748,"1"
"N40307",1507097,19451,27519,"2"
"N40308",1011050,6909,41839,"2"
"N40606",245393,123,114459,"2"
"N40702",969117,840,18099,"1"
"N40703",2129070,38102,16163,"2"
"N40804",1066128,5855,24987,"2"
"N40901",1936494,21882,7535,"1"
"N41205",856586,3720,43394,"2"
"N41207",1715335,15266,6700,"1"
"N41301",1856364,20938,10973,"1"
"N41406",3113456,55876,24273,"2"
"N41801",1023128,1348,25566,"1"
"N41908",1846161,29823,17915,"2"
"N41909",1256385,3675,10174,"1"
"N42003",1548750,12565,16821,"1"
"N42009",818994,4301,63830,"2"
"N42602",611369,265,35043,"1"
"N42801",922175,4219,54850,"2"
"N44907",1928603,20399,8396,"1"
"N45118",1039974,8858,44704,"2"
"N45301",1120343,10925,51345,"2"
"N45507",1944709,33621,28695,"2"
"N45508",1222887,4932,21261,"1"
"N45509",1480508,17249,25059,"2"
"N45601",1061413,7299,47699,"2"
"N45708",1094850,2210,24644,"1"
"N45806",1224099,2284,13000,"1"
"N46602",956175,8377,55718,"2"
"NAC421",1153056,2781,32037,"1"
