"","Sample","Sample.Type","Enriched.TargetMapRate","CapRounds","Shot.PercEnd"
"1","N32207","Fecal",0.718318564972575,1,31.86961826
"2","N41207","Fecal",0.702612147391985,1,37.36310787
"3","N44907","Fecal",0.719845798369939,1,29.32789607
"4","N21602","Fecal",0.733096569800304,1,22.65569938
"5","N35006","Fecal",0.719826004690363,1,30.02430614
"6","N32605","Fecal",0.706108127131824,1,23.87406805
"7","N21608","Fecal",0.743216238457864,1,28.15147878
"8","N27909","Fecal",0.724703906530494,1,26.33874233
"9","N30110","Fecal",0.73361593905766,1,25.92399598
"10","N17311","Fecal",0.707768534498404,1,23.96836523
"11","N35208","Fecal",0.871513337576535,2,18.81838844
"12","N28702","Fecal",0.872415063208604,2,17.56077944
"13","N32204","Fecal",0.852415681196667,2,18.10215745
"14","N20107","Fecal",0.861185862607964,2,17.84439113
"15","N15410","Fecal",0.856823102975119,2,19.70307287
"16","N22602","Fecal",0.871903214450682,2,21.47005179
"17","N45118","Fecal",0.853346775389177,2,17.84427533
"18","N16007","Fecal",0.848039117904644,2,18.5125352
"19","N16214","Fecal",0.864531564831736,2,21.43589925
"20","N19909","Fecal",0.866207871131352,2,21.91691056
"21","N31902","Fecal",0.703439281004828,1,17.08173105
"22","N32006","Fecal",0.702963329823165,1,16.48906698
"23","N40901","Fecal",0.697035301798212,1,16.84941302
"24","N40306","Fecal",0.704477775820761,1,15.88762706
"25","N37909","Fecal",0.71436723800231,1,17.46518746
"26","N16017","Fecal",0.703236903398309,1,17.53537615
"27","N15901","Fecal",0.667603308739184,1,15.27794586
"28","N21203","Fecal",0.700370634755216,1,15.20234157
"29","N29107","Fecal",0.705540060520867,1,15.55697751
"30","N34903","Fecal",0.708026677649003,1,16.86632061
"31","N27007","Fecal",0.864803824266324,2,13.36110862
"32","N32205","Fecal",0.856045308980053,2,13.50906446
"33","N32206","Fecal",0.840445889743228,2,13.47125087
"34","N31903","Fecal",0.859233766067728,2,13.56369491
"35","N41406","Fecal",0.862421213841833,2,15.05726165
"36","N18609","Fecal",0.859597423566276,2,12.85821658
"37","N38406","Fecal",0.872241766482195,2,14.67276776
"38","N16016","Fecal",0.856915568675525,2,13.70054264
"39","N35908","Fecal",0.853433025793212,2,14.07447811
"40","N26009","Fecal",0.843635439060762,2,14.96471038
"41","N41909","Fecal",0.644138685780055,1,11.60535331
"42","N41301","Fecal",0.662154364909169,1,10.35890565
"43","N21701","Fecal",0.661999056950627,1,10.50976151
"44","N35003","Fecal",0.679107772228947,1,10.72047764
"45","N45806","Fecal",0.678545317081551,1,12.54131967
"46","N20408","Fecal",0.67784980229433,1,10.50284333
"47","N29104","Fecal",0.695118221012618,1,11.00840052
"48","N33004","Fecal",0.632351886021604,1,10.32683706
"49","N37405","Fecal",0.629295215096903,1,11.13324047
"50","N14910","Fecal",0.674099707175961,1,11.91136942
"51","N28508","Fecal",0.863850361446822,2,9.299402378
"52","N31908","Fecal",0.866472449366101,2,9.408480919
"53","N31904","Fecal",0.851843722802437,2,10.31623533
"54","N41205","Fecal",0.842919450999837,2,9.286218063
"55","N32606","Fecal",0.861254238580144,2,9.484166333
"56","N37807","Fecal",0.831243478655355,2,10.31937779
"57","N16608","Fecal",0.861724659606657,2,9.623910081
"58","N17405","Fecal",0.863510644518184,2,9.382607031
"59","N12304","Fecal",0.837353124476205,2,10.25958639
"60","N27306","Fecal",0.868779952283619,2,9.528190678
"61","N31905","Fecal",0.671175329552527,1,8.918622071
"62","N15304","Fecal",0.650178910469323,1,8.361281535
"63","N19108","Fecal",0.671396875837715,1,8.474749726
"64","N38502","Fecal",0.656891605128685,1,9.206251327
"65","N38701","Fecal",0.656622783521012,1,9.140450842
"66","N42602","Fecal",0.64324625737841,1,8.588802112
"67","N20411","Fecal",0.603315689180606,1,8.701702164
"68","N34404","Fecal",0.666946319997803,1,8.628268231
"69","N34406","Fecal",0.64339538797069,1,8.193443851
"70","N19103","Fecal",0.652766256293421,1,8.242603208
"71","N31907","Fecal",0.862590866189549,2,6.331024273
"72","N32001","Fecal",0.845520006129693,2,7.139551369
"73","N32008","Fecal",0.843728568888588,2,8.044408044
"74","N40703","Fecal",0.844604626968242,2,6.896452103
"75","N40804","Fecal",0.823551824053623,2,7.02477626
"76","N22003","Fecal",0.865141165310236,2,6.747715571
"77","N17316","Fecal",0.832013691193774,2,7.010735549
"78","N21009","Fecal",0.861051903330257,2,7.44546552
"79","N20410","Fecal",0.862825703886169,2,6.728038005
"80","N34207","Fecal",0.86002940815694,2,7.440108308
"81","N40702","Fecal",0.594636304400014,1,5.393000839
"82","N21803","Fecal",0.614137144002213,1,5.529615795
"83","N38602","Fecal",0.622395974205804,1,6.078540981
"84","N17014","Fecal",0.679337930462866,1,6.323832904
"85","N45708","Fecal",0.633099255179251,1,6.193259398
"86","N45508","Fecal",0.613811862748346,1,5.522582663
"87","NAC421","Fecal",0.65300112629776,1,6.327023116
"88","N41801","Fecal",0.570316556272374,1,5.589291324
"89","N42003","Fecal",0.641738663779481,1,5.550092883
"90","N34904","Fecal",0.584061433368148,1,8
"91","N40307","Fecal",0.854652242954945,2,4.931792998
"92","N40308","Fecal",0.857564614665662,2,5.280513606
"93","N21606","Fecal",0.863421314628726,2,5.079671684
"94","N34606","Fecal",0.860745104539237,2,5.08936623
"95","N35508","Fecal",0.853432789211889,2,4.46704341
"96","N45509","Fecal",0.851909101482951,2,5.199041109
"97","N45507","Fecal",0.858954441540707,2,4.824887375
"98","N41908","Fecal",0.844029989898234,2,3.803722982
"99","N15113","Fecal",0.858623130737341,2,4.980867746
"100","N14222","Fecal",0.843250686906663,2,4.205760526
"101","N32109","Fecal",0.844246289719786,2,2.784816611
"102","N46602","Fecal",0.815880025852472,2,2.035700783
"103","N40606","Fecal",0.814526843961579,2,3.600003315
"104","N15105","Fecal",0.84120794432028,2,2.813650418
"105","N42009","Fecal",0.852277970625608,2,3.022608378
"106","N42801","Fecal",0.847276185790763,2,3.021084946
"107","N45601","Fecal",0.836769580813831,2,1.653305674
"108","N45301","Fecal",0.840101205595053,2,2.494901601
"109","N36409","Fecal",0.83699891911631,2,2.586362719
"110","N33104","Fecal",0.815837966975197,2,3.165625806
"111","N32402","Tissue",0.706838682210912,1,87.79072551
"112","N32401","Tissue",0.739223935473571,1,79.0054945
